"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
"* 주택매매 거래는 부동산 거래신고 등에 관한 법률 제3조에 따라 계약일로부터 60일 이내 신고토록 하고 있습니다."
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1588-0149로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 20181201 ~ 20191130"
"실거래구분 : 아파트(매매)"
"주소구분 : 지번주소"
"시도 : 경기도"
"시군구 : 김포시"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"시군구","번지","본번","부번","단지명","전용면적(㎡)","계약년월","계약일","거래금액(만원)","층","건축년도","도로명"
"경기도 김포시 감정동","517-1","0517","0001","쌍용","59.8","201909","12","18,100","15","1998","중봉로58번길 46"
"경기도 김포시 감정동","517-1","0517","0001","쌍용","59.8","201910","12","18,000","14","1998","중봉로58번길 46"
"경기도 김포시 감정동","517-1","0517","0001","쌍용","84.97","201910","23","21,500","9","1998","중봉로58번길 46"
"경기도 김포시 감정동","685","0685","0000","푸른마을(신안)","59.794","201812","8","17,000","4","2001","감정로 64"
"경기도 김포시 감정동","685","0685","0000","푸른마을(신안)","84.886","201812","15","21,800","8","2001","감정로38번길 16"
"경기도 김포시 감정동","685","0685","0000","푸른마을(신안)","59.794","201901","12","16,500","6","2001","감정로 64"
"경기도 김포시 감정동","685","0685","0000","푸른마을(신안)","59.794","201901","26","17,000","5","2001","감정로 64"
"경기도 김포시 감정동","685","0685","0000","푸른마을(신안)","68.931","201901","29","18,000","14","2001","감정로 64"
"경기도 김포시 감정동","685","0685","0000","푸른마을(신안)","157.619","201902","1","31,200","12","2001","감정로 64"
"경기도 김포시 감정동","685","0685","0000","푸른마을(신안)","59.794","201902","2","17,000","5","2001","감정로 64"
"경기도 김포시 감정동","685","0685","0000","푸른마을(신안)","84.886","201902","8","17,900","1","2001","감정로38번길 16"
"경기도 김포시 감정동","685","0685","0000","푸른마을(신안)","68.931","201902","11","18,300","8","2001","감정로 64"
"경기도 김포시 감정동","685","0685","0000","푸른마을(신안)","128.494","201902","16","28,500","9","2001","감정로 64"
"경기도 김포시 감정동","685","0685","0000","푸른마을(신안)","84.886","201902","19","19,000","2","2001","감정로 64"
"경기도 김포시 감정동","685","0685","0000","푸른마을(신안)","84.886","201902","23","18,800","1","2001","감정로 64"
"경기도 김포시 감정동","685","0685","0000","푸른마을(신안)","84.886","201902","23","22,500","4","2001","감정로38번길 16"
"경기도 김포시 감정동","685","0685","0000","푸른마을(신안)","84.886","201902","27","23,700","13","2001","감정로38번길 16"
"경기도 김포시 감정동","685","0685","0000","푸른마을(신안)","59.794","201903","5","17,050","2","2001","감정로38번길 16"
"경기도 김포시 감정동","685","0685","0000","푸른마을(신안)","84.886","201903","5","22,250","3","2001","감정로 64"
"경기도 김포시 감정동","685","0685","0000","푸른마을(신안)","181.545","201903","6","29,000","4","2001","감정로 64"
"경기도 김포시 감정동","685","0685","0000","푸른마을(신안)","84.886","201903","9","20,500","3","2001","감정로38번길 16"
"경기도 김포시 감정동","685","0685","0000","푸른마을(신안)","68.931","201903","14","18,000","9","2001","감정로 64"
"경기도 김포시 감정동","685","0685","0000","푸른마을(신안)","84.886","201903","30","22,850","7","2001","감정로38번길 16"
"경기도 김포시 감정동","685","0685","0000","푸른마을(신안)","59.794","201903","30","16,300","14","2001","감정로38번길 16"
"경기도 김포시 감정동","685","0685","0000","푸른마을(신안)","84.886","201903","30","18,900","1","2001","감정로38번길 16"
"경기도 김포시 감정동","685","0685","0000","푸른마을(신안)","59.794","201904","10","17,800","3","2001","감정로38번길 16"
"경기도 김포시 감정동","685","0685","0000","푸른마을(신안)","68.931","201904","13","16,000","1","2001","감정로 64"
"경기도 김포시 감정동","685","0685","0000","푸른마을(신안)","202.194","201904","13","30,000","15","2001","감정로 64"
"경기도 김포시 감정동","685","0685","0000","푸른마을(신안)","68.931","201904","13","17,000","3","2001","감정로 64"
"경기도 김포시 감정동","685","0685","0000","푸른마을(신안)","128.494","201904","15","27,200","2","2001","감정로 64"
"경기도 김포시 감정동","685","0685","0000","푸른마을(신안)","59.794","201904","15","16,470","6","2001","감정로 64"
"경기도 김포시 감정동","685","0685","0000","푸른마을(신안)","68.931","201904","23","16,900","9","2001","감정로 64"
"경기도 김포시 감정동","685","0685","0000","푸른마을(신안)","84.886","201904","26","20,950","5","2001","감정로 64"
"경기도 김포시 감정동","685","0685","0000","푸른마을(신안)","59.794","201904","30","17,550","14","2001","감정로38번길 16"
"경기도 김포시 감정동","685","0685","0000","푸른마을(신안)","68.931","201904","30","17,500","4","2001","감정로 64"
"경기도 김포시 감정동","685","0685","0000","푸른마을(신안)","68.931","201905","1","17,500","8","2001","감정로 64"
"경기도 김포시 감정동","685","0685","0000","푸른마을(신안)","59.794","201905","2","14,500","9","2001","감정로 64"
"경기도 김포시 감정동","685","0685","0000","푸른마을(신안)","68.931","201905","4","17,000","3","2001","감정로 64"
"경기도 김포시 감정동","685","0685","0000","푸른마을(신안)","84.886","201905","9","20,500","11","2001","감정로 64"
"경기도 김포시 감정동","685","0685","0000","푸른마을(신안)","59.794","201905","21","17,200","6","2001","감정로 64"
"경기도 김포시 감정동","685","0685","0000","푸른마을(신안)","84.886","201906","1","22,800","6","2001","감정로 64"
"경기도 김포시 감정동","685","0685","0000","푸른마을(신안)","84.886","201906","4","21,050","10","2001","감정로 64"
"경기도 김포시 감정동","685","0685","0000","푸른마을(신안)","68.931","201906","6","15,900","1","2001","감정로 64"
"경기도 김포시 감정동","685","0685","0000","푸른마을(신안)","157.619","201906","7","28,500","3","2001","감정로 64"
"경기도 김포시 감정동","685","0685","0000","푸른마을(신안)","84.886","201906","13","20,000","13","2001","감정로 64"
"경기도 김포시 감정동","685","0685","0000","푸른마을(신안)","84.886","201906","15","21,000","4","2001","감정로 64"
"경기도 김포시 감정동","685","0685","0000","푸른마을(신안)","68.931","201906","15","17,700","13","2001","감정로 64"
"경기도 김포시 감정동","685","0685","0000","푸른마을(신안)","157.619","201906","28","30,700","14","2001","감정로 64"
"경기도 김포시 감정동","685","0685","0000","푸른마을(신안)","68.931","201907","2","18,000","1","2001","감정로38번길 16"
